Fiat,Idea,‐‐,10 ‐‐ 11,FAP2831,WOE912,,FCI1660,,AKX35321,AKX35321/C,E
Fiat,Idea,‐‐,2011 ‐‐>,FAP9121,WOE912,,FCI1660,,AKX35321,AKX35321/C,E
Fiat,Idea,flex ‐ (Essence) ‐ mecânico,05 ‐‐ 10,FAP2831,WO120,WUNI0005,FCI1660,,AKX35321,AKX35321/C,F
Nome da Montadora,Nome do Modelo,Classificação do Modelo,Ano,Filtro do Ar,Filtro do Óleo,Filtro do Óleo Opcional,Filtro do Combustível,Filtro de Combustível Opcional,Filtro de Cabine,Filtro de Cabine com Carvão,Posição
Fiat,Idea,flex ‐ (HLX / ELX) ‐ mecânico,05 ‐‐ 10,FAP2831,WO130,WUNI0003,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Idea,flex ‐ (Sporting) ‐ Dualogic / mecânico,2011 ‐‐>,FAP9121,WOE912,,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Linea,‐‐,2008 ‐‐>,FAP9014,WO170,WUNI0004,FCI1110S,FCI1660,AKX1375,AKX1375/C,D
Fiat,Linea,flex ‐ (Absolute / Essence / Sporting / HLX / LX) ‐ Dualogic / mecânico,2011 ‐‐>,FAP9121,WOE912,,FCI1660,,AKX1375,AKX1375/C,D
Fiat,Linea,T ‐ Jet ‐ (Turbo) ‐ gasolina ‐ mecânico,2008 ‐‐>,FAP2833,WOE909,,FCI1110S,FCI1660,AKX1375,AKX1375/C,D
Fiat,Marea,‐‐,98 ‐‐ 07,FAP5303,WO170,WUNI0004,FCI1110S,FCI1660,AKX35125,AKX35125/C,A
Fiat,Marea,(ELX / ESX) ‐ gasolina ‐ mecânico,98 ‐‐ 07,FAP5303,WO170,WUNI0004,FCI1110S,FCI1660,AKX35125,AKX35125/C,A
Fiat,Marea,(HLX) ‐ gasolina ‐ mecânico,00 ‐‐ 07,FAP5303,WO170,WUNI0004,FCI1110S,FCI1660,AKX35125,AKX35125/C,A
Fiat,Marea,(SX) ‐ gasolina ‐ mecânico,05 ‐‐ 07,FAP5303,WO170,WUNI0004,FCI1110S,FCI1660,AKX35125,AKX35125/C,A
Fiat,Marea Weekend,‐‐,98 ‐‐ 07,FAP5303,WO170,WUNI0004,FCI1110S,FCI1660,AKX35125,AKX35125/C,A
Fiat,Marea Weekend,(ELX / ESX) ‐ gasolina ‐ mecânico,98 ‐‐ 07,FAP5303,WO170,WUNI0004,FCI1110S,FCI1660,AKX35125,AKX35125/C,A
Fiat,Marea Weekend,(HLX) ‐ gasolina ‐ automático / mecânico,00 ‐‐ 07,FAP5303,WO170,WUNI0004,FCI1110S,FCI1660,AKX35125,AKX35125/C,A
Fiat,Marea Weekend,(SX) ‐ gasolina ‐ mecânico,05 ‐‐ 07,FAP5303,WO170,WUNI0004,FCI1110S,FCI1660,AKX35125,AKX35125/C,A
Fiat,Mobi,flex ‐ (Easy On / Like / Way / DRIVE) ‐ mecânico,2016 ‐‐>,FAP9054/1,WO120,WUNI0005,FCI1660,,AKX35323,AKX35323/C,F
Fiat,Mobi,flex ‐ (Easy On / Like / Way / DRIVE) ‐ mecânico,2017 ‐‐>,FAP2829,WO121,,FCI1660,,AKX35323,AKX35323/C,F
Fiat,Oggi,‐‐,83 ‐‐ 85,FAP4033,WO460,WUNI0001,FCC2160,FCC2160,,,
Fiat,Palio,‐‐,96 ‐‐ 97,FAP2831,WO170,WUNI0004,FCI1600,,AKX1372,,F
Fiat,Palio,‐‐,98 ‐‐ 99,FAP2831,WO170,WUNI0004,FCI1600,,AKX35322,,E
Fiat,Palio,(EL / ELX) ‐ gasolina ‐ mecânico,96 ‐‐ 98,FAP2831,WO170,WUNI0004,FCI1600,,AKX1372,,F
Fiat,Palio,(EL / ELX) ‐ gasolina ‐ mecânico,96 ‐‐ 98,FAP2831,WO170,WUNI0004,FCI1600,,AKX1372,,F
Fiat,Palio,(EL / ELX) ‐ gasolina ‐ mecânico,97 ‐‐ 01,FAP2831,WO170,WUNI0004,FCI1600,,AKX1372,,F
Fiat,Palio,(EL / ELX) ‐ gasolina ‐ mecânico,98 ‐‐ 00,FAP2831,WO170,WUNI0004,FCI1600,,AKX35322,,F
Fiat,Palio,(EL / ELX) ‐ gasolina ‐ mecânico,98 ‐‐ 00,FAP2831,WO170,WUNI0004,FCI1600,,AKX35322,,F
Fiat,Palio,Evo flex ‐ (Attractive / ELX) ‐ mecânico,10 ‐‐ 11,FAP2831,WO120,WUNI0005,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Palio,Evo flex ‐ (Attractive / ELX) ‐ mecânico,2012 ‐‐>,FAP2831,WO120,WUNI0005,FCI1660,,AKX35323,AKX35323/C,F
Fiat,Palio,Fire ‐ (EL / ELX / Stile) ‐ gasolina ‐ mecânico,00 ‐‐ 01,FAP2831,WO120,WUNI0005,FCI1110S,FCI1660,AKX35322,,F
Fiat,Palio,Fire ‐ (EL / ELX / Stile) ‐ gasolina ‐ mecânico,01 ‐‐ 03,FAP2831,WO120,WUNI0005,FCI1110S,FCI1660,AKX35321,AKX35321/C,F
Fiat,Palio,Fire ‐ (ELX / EX) ‐ gasolina ‐ mecânico,2000 ‐‐>,FAP2831,WO120,WUNI0005,FCI1110S,FCI1660,AKX35321,AKX35321/C,F
Fiat,Palio,Fire ‐ (ELX / EX) ‐ gasolina ‐ mecânico,2000 ‐‐>,FAP2831,WO120,WUNI0005,FCI1110S,FCI1660,AKX35322,,F
Fiat,Palio,Fire ‐ (ELX) ‐ gasolina ‐ mecânico,00 ‐‐ 01,FAP2831,WO120,WUNI0005,FCI1110S,FCI1660,AKX35321,AKX35321/C,F
Fiat,Palio,Fire ‐ (ELX) ‐ gasolina ‐ mecânico,01 ‐‐ 03,FAP2831,WO120,WUNI0005,FCI1110S,FCI1660,AKX35321,AKX35321/C,F
Fiat,Palio,Fire flex ‐ (Attractive / ELX) ‐ álcool / gasolina ‐ mecânico,2006 ‐‐>,FAP2831,WO120,WUNI0005,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Palio,Fire flex ‐ (ELX / EX) ‐ mecânico,2007 ‐‐>,FAP2831,WO120,WUNI0005,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Palio,flex ‐ (EL / ELX) ‐ Dualogic / mecânico,10 ‐‐11,FAP9121,WOE912,,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Palio,flex ‐ (EL / ELX) ‐ Dualogic / mecânico,2004 ‐‐>,FAP2831,WO130,WUNI0003,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Palio,flex ‐ (ELX / EX) ‐ álcool / gasolina ‐ mecânico,2004 ‐‐>,FAP2831,WO120,WUNI0005,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Palio,flex ‐ (ELX / EX) ‐ mecânico,2011 ‐‐>,FAP2831,WO120,WUNI0005,FCI1660,,AKX35323,AKX35323/C,F
Fiat,Palio,flex ‐ (Essence) ‐ mecânico,10 ‐‐ 11,FAP9121,WOE912,,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Palio,flex ‐ (Essence) ‐ mecânico,2012 ‐‐>,FAP9121,WOE912,,FCI1660,,AKX35323,AKX35323/C,F
Fiat,Palio,flex ‐ mecânico,2006 ‐‐>,FAP2831,WO130,WUNI0003,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Palio Weekend,‐‐,00 ‐‐ 01,FAP2831,WO170,WUNI0004,FCI1110S,FCI1660,AKX35322,,E
Fiat,Palio Weekend,‐‐,01 ‐‐ 03,FAP2831,WO120,WUNI0005,FCI1110S,FCI1660,AKX35321,AKX35321/C,E
Fiat,Palio Weekend,(Adventure / City / EL / ELX) ‐ gasolina ‐ mecânico,96 ‐‐ 98,FAP2831,WO170,WUNI0004,FCI1110S,FCI1660,AKX1372,,F
Fiat,Palio Weekend,(Adventure / City / EL / ELX) ‐ gasolina ‐ mecânico,98 ‐‐ 00,FAP2831,WO170,WUNI0004,FCI1110S,FCI1660,AKX35322,,F
Fiat,Palio Weekend,(City / EL / ELX) ‐ gasolina ‐ mecânico,96 ‐‐ 98,FAP2831,WO170,WUNI0004,FCI1110S,FCI1660,AKX1372,,F
Fiat,Palio Weekend,(City / EL / ELX) ‐ gasolina ‐ mecânico,98 ‐‐ 00,FAP2831,WO170,WUNI0004,FCI1110S,FCI1660,AKX35322,,F
Fiat,Palio Weekend,(ELX) ‐ gasolina ‐ mecânico,96 ‐‐ 98,FAP2831,WO170,WUNI0004,FCI1600,,AKX1372,,F
Fiat,Palio Weekend,(ELX) ‐ gasolina ‐ mecânico,98 ‐‐ 00,FAP2831,WO170,WUNI0004,FCI1600,,AKX35322,,F
Fiat,Palio Weekend,Evo flex ‐ (Attractive / Trekking / ELX) ‐ mecânico,10 ‐‐ 11,FAP2831,WO120,WUNI0005,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Palio Weekend,Evo flex ‐ (Attractive / Trekking / ELX) ‐ mecânico,2012 ‐‐>,FAP2831,WO120,WUNI0005,FCI1660,,AKX35323,AKX35323/C,F
Fiat,Palio Weekend,Fire ‐ (ELX / EX) ‐ gasolina ‐ mecânico,00 ‐‐ 01,FAP2831,WO120,WUNI0005,FCI1110S,FCI1660,AKX35322,,F
Fiat,Palio Weekend,Fire ‐ (ELX / EX) ‐ gasolina ‐ mecânico,01 ‐‐ 03,FAP2831,WO120,WUNI0005,FCI1110S,FCI1660,AKX35321,AKX35321/C,F
Fiat,Palio Weekend,Fire ‐ (ELX) ‐ gasolina ‐ mecânico,00 ‐‐ 01,FAP2831,WO120,WUNI0005,FCI1110S,FCI1660,AKX35322,,F
Fiat,Palio Weekend,Fire ‐ (ELX) ‐ gasolina ‐ mecânico,01 ‐‐ 03,FAP2831,WO120,WUNI0005,FCI1110S,FCI1660,AKX35321,AKX35321/C,F
Fiat,Palio Weekend,Fire flex ‐ (Attractive / Trekking / ELX) ‐ mecânico,2006 ‐‐>,FAP2831,WO120,WUNI0005,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Palio Weekend,flex ‐ (Adventure / Trekking / EL / ELX / Stile) ‐ Dualogic / mecânico,10 ‐‐ 11,FAP9121,WOE912,,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Palio Weekend,flex ‐ (Adventure / Trekking / EL / ELX / Stile) ‐ Dualogic / mecânico,2004 ‐‐>,FAP2831,WO130,WUNI0003,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Palio Weekend,flex ‐ (Adventure / Trekking / EL / ELX / Stile) ‐ Dualogic / mecânico,2012 ‐‐>,FAP9121,WOE912,,FCI1660,,AKX35323,AKX35323/C,F
Fiat,Palio Weekend,flex ‐ (EL / ELX) ‐ Dualogic / mecânico,2012 ‐‐>,FAP9121,WOE912,,FCI1660,,AKX35323,AKX35323/C,F
Fiat,Palio Weekend,flex ‐ (ELX / EX) ‐ mecânico mecânico,2004 ‐‐>,FAP2831,WO120,WUNI0005,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Palio Weekend,flex ‐ (Trekking) ‐ mecânico,11 ‐‐ 12,FAP9121,WOE912,,FCI1630,,AKX35321,AKX35321/C,F
Fiat,Palio Weekend,flex ‐ (Trekking) ‐ mecânico,2012 ‐‐>,FAP9121,WOE912,,FCI1630,,AKX35323,AKX35323/C,F
Fiat,Panorama,(C / CL) ‐ gasolina ‐ mecânico,80 ‐‐ 86,FAP4033,WO460,WUNI0001,FCC2160,FCC2160,,,
Fiat,Premio,‐‐,91 ‐‐ 94,FAP4033,WO460,WUNI0001,FCI1610,,,,
Fiat,Premio,todos os motores com carburador ‐ (CS / CSL / S) ‐ álcool / gasolina ‐ mecânico,85 ‐‐ 91,FAP4033,WO460,WUNI0001,FCC2160,FCC2160,,,
Fiat,Pulse,Flex ‐ (Drive MT) – manual / automático,2021 ‐‐>,FAP2829,WO121,,FCI1660,,AKX35323,AKX35323/C,F
Fiat,Pulse,Turbo Flex 200 ‐ (Abarth) ‐ automático,2022 ‐‐>,FAP2834,WO121,,FCI1660,,AKX35323,AKX35323/C,F
Fiat,Pulse,Turbo Flex 200 ‐ (Audace / Impetus / Drive) ‐ automático,2021 ‐‐>,FAP2835,WO121,,FCI1660,,AKX35323,AKX35323/C,F
Fiat,Punto,‐‐,2007 ‐‐>,FAP9015,WO120,WUNI0005,FCI1660,,AKX1375,AKX1375/C,D
Fiat,Punto,flex ‐ (Bertone / Essence / SX) ‐ Dualogic / mecânico,10 ‐‐ 11,FAP9121,WOE912,,FCI1660,,AKX1375,AKX1375/C,D
Nome da Montadora,Nome do Modelo,Classificação do Modelo,Ano,Filtro do Ar,Filtro do Óleo,Filtro do Óleo Opcional,Filtro do Combustível,Filtro de Combustível Opcional,Filtro de Cabine,Filtro de Cabine com Carvão,Posição
Fiat,Punto,flex ‐ (Bertone / Essence / SX) ‐ Dualogic / mecânico,2011 ‐‐>,FAP9121,WOE912,,FCI1660,,AKX1375,AKX1375/C,D
Fiat,Punto,flex ‐ (Essence / HLX / Sporting) ‐ Dualogic / mecânico,10 ‐‐ 11,FAP9121,WOE912,,FCI1660,,AKX1375,AKX1375/C,D
Fiat,Punto,flex ‐ (Essence / HLX / Sporting) ‐ Dualogic / mecânico,2007 ‐‐>,FAP9014,WO130,WUNI0003,FCI1660,,AKX1375,AKX1375/C,D
Fiat,Punto,flex ‐ (Essence / HLX / Sporting) ‐ Dualogic / mecânico,2012 ‐‐>,FAP9121,WOE912,,FCI1660,,AKX1375,AKX1375/C,D
Fiat,Punto,T ‐ Jet ‐ (Turbo) ‐ gasolina ‐ mecânico,2009 ‐‐>,FAP2833,WOE909,,FCI1660,FCI1110S,AKX1375,AKX1375/C,D
Fiat,Siena,‐‐,00 ‐‐ 01,FAP2831,WO170,WUNI0004,FCI1660,,AKX35322,,E
Fiat,Siena,‐‐,01 ‐‐ 03,FAP2831,WO120,WUNI0005,FCI1110S,FCI1660,AKX35321,AKX35321/C,E
Fiat,Siena,(ELX / EX) ‐ gasolina ‐ mecânico,96 ‐‐ 98,FAP2831,WO170,WUNI0004,FCI1600,,AKX1372,,F
Fiat,Siena,(ELX / EX) ‐ gasolina ‐ mecânico,98 ‐‐ 00,FAP2831,WO170,WUNI0004,FCI1600,,AKX35322,,F
Fiat,Siena,(ELX) ‐ álcool / gasolina ‐ mecânico,03 ‐‐ 04,FAP2831,WO170,WUNI0004,FCI1600,,AKX1372,,F
Fiat,Siena,(ELX) ‐ álcool / gasolina ‐ mecânico,98 ‐‐ 00,FAP2831,WO170,WUNI0004,FCI1600,,AKX35322,,F
Fiat,Siena,(ELX) ‐ gasolina ‐ mecânico,96 ‐‐ 98,FAP2831,WO170,WUNI0004,FCI1600,,AKX1372,,F
Fiat,Siena,(ELX) ‐ gasolina ‐ mecânico,98 ‐‐ 00,FAP2831,WO170,WUNI0004,FCI1600,,AKX35322,,F
Fiat,Siena,álcool / gasolina ‐ mecânico,96 ‐‐ 98,FAP2831,WO170,WUNI0004,FCI1600,,AKX1372,,F
Fiat,Siena,Fire ‐ (ELX / EX) ‐ gasolina ‐ mecânico,00 ‐‐ 01,FAP2831,WO120,WUNI0005,FCI1110S,FCI1660,AKX35322,,F
Fiat,Siena,Fire ‐ (ELX / EX) ‐ gasolina ‐ mecânico,01 ‐‐ 03,FAP2831,WO120,WUNI0005,FCI1110S,FCI1660,AKX35321,AKX35321/C,F
Fiat,Siena,Fire flex ‐ (ELX / EX) ‐ mecânico,2006 ‐‐>,FAP2831,WO120,WUNI0005,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Siena,flex ‐ (Attractive / ELX) ‐ álcool / gasolina ‐ mecânico,2007 ‐‐>,FAP2831,WO120,WUNI0005,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Siena,flex ‐ (ELX / EX) ‐ álcool / gasolina ‐ mecânico,04 ‐‐ 05,FAP2831,WO120,WUNI0005,FCI1660,FCI1110S,AKX35321,AKX35321/C,F
Fiat,Siena,flex ‐ (Essence / HLX) ‐ álcool / gasolina ‐ Dualogic / mecânico,10 ‐‐11,FAP9121,WOE912,,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Siena,flex ‐ (Essence / HLX) ‐ álcool / gasolina ‐ Dualogic / mecânico,2004 ‐‐>,FAP2831,WO130,WUNI0003,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Siena,flex ‐ (Essence / HLX) ‐ álcool / gasolina ‐ Dualogic / mecânico,2011 ‐‐>,FAP9121,WOE912,,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Siena,MPI EXL Fire ‐ (ELX) ‐ gasolina ‐ mecânico,00 ‐‐ 01,FAP2831,WO120,WUNI0005,FCI1110S,FCI1660,AKX35322,,F
Fiat,Siena,MPI EXL Fire ‐ (ELX) ‐ gasolina ‐ mecânico,01 ‐‐ 03,FAP2831,WO120,WUNI0005,FCI1110S,FCI1660,AKX35321,AKX35321/C,F
Fiat,Siena,Tetra Fuel ‐ álcool / gasolina / GNV ‐ mecânico,07 ‐‐ 12,FAP2831,WO120,WUNI0005,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Spazio,‐‐,82 ‐‐ 87,FAP2831,WO170,WUNI0004,FCI1600,,,,
Fiat,Stilo,‐‐,02 ‐‐ 06,FAP4208,WO170,WUNI0004,FCI1110S,FCI1660,AKX35711,AKX35711/C,F
Fiat,Stilo,(Connect / Schumacher) ‐ gasolina ‐ mecânico,03 ‐‐ 07,FAP9006,WO130,WUNI0003,FCI1110S,FCI1660,AKX35711,AKX35711/C,F
Fiat,Stilo,(Connect) ‐ gasolina ‐ mecânico,03 ‐‐ 06,FAP9006,WO130,WUNI0003,FCI1110S,FCI1660,AKX35321,AKX35321/C,F
Fiat,Stilo,flex ‐ (Attractive / Blackmotion / Connect / Sporting) ‐ Dualogic / mecânico,2005 ‐‐>,FAP9006,WO130,WUNI0003,FCI1660,,AKX35711,AKX35711/C,F
Fiat,Strada,‐‐,01 ‐‐ 02,FAP2831,WO170,WUNI0004,FCI1600,,AKX35321,AKX35321/C,E
Fiat,Strada,(Trekking / CE / CS / LX) ‐ gasolina ‐ mecânico,99 ‐‐ 00,FAP2831,WO170,WUNI0004,FCI1600,,AKX35322,,F
Fiat,Strada,(Working / CD / CE / CS) ‐ álcool / gasolina ‐ mecânico,00 ‐‐ 04,FAP2831,WO170,WUNI0004,FCI1600,,AKX35321,AKX35321/C,F
Fiat,Strada,Fire ‐ (CE / CS) ‐ gasolina ‐ mecânico,03 ‐‐ 05,FAP2831,WO120,WUNI0005,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Strada,flex ‐ (Adventure / Locker) ‐ Dualogic / mecânico,10 ‐‐ 11,FAP9121,WOE912,,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Strada,flex ‐ (Adventure / Locker) ‐ Dualogic / mecânico,2004 ‐‐>,FAP2831,WO130,WUNI0003,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Strada,flex ‐ (Adventure / Locker) ‐ Dualogic / mecânico,2012 ‐‐>,FAP9121,WOE912,,FCI1660,,AKX35323,AKX35323/C,F
Fiat,Strada,flex – (Hard Working / Freedom / Working) ‐ manual,2020 ‐‐>,FAP9054/1,WO120,,FCI1660,,AKX35323,AKX35323/C,
Fiat,Strada,flex ‐ (Trekking / CD) ‐ álcool / gasolina ‐ mecânico,2012 ‐‐>,FAP9121,WOE912,,FCI1630,,AKX35323,AKX35323/C,F
Fiat,Strada,flex ‐ (Trekking / CE / CS) ‐ mecânico,2007 ‐‐>,FAP2831,WO120,WUNI0005,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Strada,flex ‐ (Volcano / Freedom) – manual,2020 ‐‐>,FAP2829,WO121,,FCI1660,,AKX35323,AKX35323/C,
Fiat,Strada,flex ‐ (Working / CD / CE / CS) ‐ mecânico,10 ‐‐ 11,FAP2831,WO120,WUNI0005,FCI1660,,AKX35321,AKX35321/C,F
Fiat,Strada,flex ‐ (Working / CD / CE / CS) ‐ mecânico,2012 ‐‐>,FAP2831,WO120,WUNI0005,FCI1660,,AKX35323,AKX35323/C,F
Fiat,Tempra,‐‐,93 ‐‐ 99,WR106,WO460,WUNI0001,FCI1610,,AKX35141,,A
Fiat,Tempra,(SLX / SW) ‐ álcool / gasolina ‐ mecânico,92 ‐‐ 96,WR106,WO460,WUNI0001,FCC2160,FCC2160,AKX35141,,A
Fiat,Tempra,Turbo ‐ gasolina ‐ mecânico,95 ‐‐ 98,WR106,WO390,WUNI0001,FCI1101A,,AKX35141,,A
Fiat,Tipo,‐‐,93 ‐‐ 95,FAP4035,WO170,WUNI0004,FCI1101A,,AKX35141,,A
Fiat,Tipo,(MPFI) ‐ gasolina ‐ mecânico,96 ‐‐ 97,FAP5301,WO170,WUNI0004,FCI1610,,AKX35141,,A
Fiat,Tipo,(MPI) ‐ gasolina ‐ mecânico,94 ‐‐ 95,FAP5301,WO460,WUNI0001,,,,,
Fiat,Tipo,(SLX) ‐ gasolina ‐ mecânico,94 ‐‐ 95,FAP5301,WO170,WUNI0004,FCI1610,,AKX35141,,A
Fiat,Toro,diesel ‐ (Freedom / Opening Edition) ‐ automático / mecânico,2016 ‐‐>,JFA0998,WOE626,,FCD0793,,AKX2108,AKX2108/C,D
Fiat,Toro,flex ‐ (Endurance / Freedom / Volcano) ‐ automático,2021 ‐‐>,FAP2834,WO121,,FCI1660,,AKX2108,AKX2108/C,
Fiat,Toro,flex ‐ (Freedom / Blackjack) ‐ automático / mecânico,2016 ‐‐>,JFA0998,WO133,,FCI1660,,AKX2108,AKX2108/C,D
Fiat,Toro,flex ‐ (Freedom / Opening Edition) ‐ automático / mecânico,2016 ‐‐>,JFA0998,WOE912,,FCI1660,,AKX2108,AKX2108/C,D
Fiat,Uno,‐‐,10 ‐‐ 16,FAP9054,WO120,WUNI0005,FCI1660,,AKX35323,AKX35323/C,E
Fiat,Uno,flex ‐ (Attractive / Way) ‐ mecânico,2016 ‐‐>,FAP2829,WO121,,FCI1660,,AKX35323,AKX35323/C,F
Fiat,Uno,flex ‐ (Way / Sporting) ‐ mecânico,2016 ‐‐>,FAP2829,WO121,,FCI1660,,AKX35323,AKX35323/C,F
Fiat,Uno,Furgão ‐ gasolina ‐ mecânico,1997 ‐‐>,FAP4033,WO170,WUNI0004,FCI1610,,,,
Fiat,Uno,Mille ‐ (EP / EX / SX) ‐ gasolina ‐ mecânico,00 ‐‐ 01,FAP4033,WO460,WUNI0001,FCI1610,,,,
Fiat,Uno,Mille Evo flex ‐ álcool / gasolina ‐ mecânico,10 ‐‐ 16,FAP9054,WO120,WUNI0005,FCI1660,,AKX35323,AKX35323/C,F
Fiat,Uno,Mille Fire ‐ gasolina ‐ mecânico,02 ‐‐ 06,FAP4033,WO120,WUNI0005,FCI1610,,,,
Fiat,Uno,Mille Fire flex ‐ álcool / gasolina ‐ mecânico,2006 ‐‐>,FAP4033,WO120,WUNI0005,FCI1610,,,,
Fiat,Uno,Mille todos os motores com carburador ‐ (CS / CSL / S) ‐ gasolina ‐ mecânico,1992 ‐‐>,FAP4033,WO460,WUNI0001,FCC2160,FCC2160,,,
Fiat,Uno,Turbo ‐ gasolina ‐ mecânico,94 ‐‐ 96,FAP4033,WO170,WUNI0004,FCI1101A,,,,
Ford,Bronco,(Sport / Wildtrak) ‐ gasolina / automático,2021 ‐‐>,FAP3296,WO156,,FCI1883,,AKX35183,,E
Ford,Courier,‐‐,97 ‐‐ 99,FAP2832,WO150,,FCI1880,FCI1650,AKX35174,AKX35174/C,A
Ford,Courier,(Endura / Furgão) ‐ gasolina ‐ mecânico,97 ‐‐ 99,FAP2832,WO150,WUNI0001,FCI1880,FCI1650,AKX35174,AKX35174/C,A
Ford,Courier,(L / Sport) ‐ gasolina ‐ mecânico,99 ‐‐ 07,FAP2832,WO180,WUNI0001,FCI1880,FCI1650,AKX35174,AKX35174/C,A
Ford,Courier,flex ‐ (Van / L / LX) ‐ mecânico,2007 ‐‐>,FAP2832,WO180,WUNI0001,FCI1650,,AKX35174,AKX35174/C,A
Ford,Del Rey,(Scala / Ghia) ‐ gasolina ‐ mecânico,89 ‐‐ 90,WR201,WO370,WUNI0002,FCC225,,,,
Nome da Montadora,Nome do Modelo,Classificação do Modelo,Ano,Filtro do Ar,Filtro do Óleo,Filtro do Óleo Opcional,Filtro do Combustível,Filtro de Combustível Opcional,Filtro de Cabine,Filtro de Cabine com Carvão,Posição
Ford,EcoSport,‐‐,06 ‐‐ 08,FAP7007,WO150,WUNI0001,FCI1695A,,AKX35346F,AKX35346/CF,G
Ford,EcoSport,(Duratec) ‐ gasolina ‐ mecânico,2003,WR252,WOE120,TFW120,FCI1695A,,AKX35346F,AKX35346/CF,G
Ford,EcoSport,(Supercharger) ‐ gasolina ‐ mecânico,03 ‐‐ 06,FAP9008,WO150,WUNI0001,FCI1695A,,AKX35346F,AKX35346/CF,G
Ford,EcoSport,(XL / XLS / XLT) ‐ gasolina ‐ mecânico,03 ‐‐ 05,FAP9003,WO150,WUNI0001,FCI1695A,,AKX35346F,AKX35346/CF,G
Ford,EcoSport,(XLS / XLT) ‐ gasolina ‐ automático / mecânico,2003 ‐‐>,WR252,WO150,WUNI0001,FCI1695A,,AKX35346F,AKX35346/CF,G
Ford,EcoSport,Ecosport flex ‐ (SE / Direct / FreeStyle / Plus) ‐ automático / mecânico,2017 ‐‐>,FAP7019,WO156,,FCI1694,,AKX35347F,AKX35347/CF,
Ford,EcoSport,Ecosport flex ‐ (Titanium / Storm) ‐ automático / mecânico,2017 ‐‐>,FAP7019,WO156,,FCI1694,,AKX35347F,AKX35347/CF,
Ford,EcoSport,flex ‐ (Freestyle / Titanium) ‐ álcool / gasolina ‐ automático / mecânico,2012 ‐‐>,FAP9295,WO153,,FCI1694,,AKX35347F,AKX35347/CF,G
Ford,EcoSport,flex ‐ (Freestyle / Titanium) ‐ álcool / gasolina ‐ mecânico,2012 ‐‐>,FAP9286,WO153,,FCI1694,,AKX35347F,AKX35347/CF,G
Ford,EcoSport,flex ‐ (Freestyle / Titanium) ‐ álcool / gasolina ‐ mecânico,2016 ‐‐>,FAP9296,WO156,,FCI1694,,AKX35347F,AKX35347/CF,G
Ford,EcoSport,flex ‐ (S / SE / XL / XLS / XLT) ‐ álcool / gasolina ‐ automático / mecânico,07 ‐‐ 12,FAP4056,WO150,WUNI0001,FCI1695A,,AKX35346F,AKX35346/CF,G
Ford,EcoSport,flex ‐ (S / SE / XL / XLS / XLT) ‐ mecânico,05 ‐‐ 12,FAP9003,WO150,WUNI0001,FCI1695A,,AKX35346F,AKX35346/CF,G
Ford,Edge,(Limited / AWD / FWD) ‐ gasolina ‐ automático / mecânico,08 ‐‐ 09,FAP9052,WO180,WUNI0001,FCI1883,,AKX35348,,D
Ford,Edge,(Limited / SEL) ‐ gasolina ‐ automático / mecânico,10 ‐‐ 14,FAP2848,WO151,,FCI1883,,AKX35348,,D
Ford,Edge,Biturbo ‐ (ST) ‐ automático,2019 ‐‐>,FAP2848,,,FCI1883,,AKX35126,AKX35126/C,D
Ford,Escort,‐‐,96 ‐‐ 02,FAP4831,WO370,WUNI0002,FCI1880,FCI1650,,,
Ford,Escort,(GL) ‐ gasolina ‐ mecânico,00 ‐‐ 02,FAP4831,WO150,WUNI0001,FCI1880,FCI1650,,,
Ford,Escort,(Hobby) ‐ gasolina ‐ mecânico,93 ‐‐ 96,FAP4034,WO240,WUNI0001,FCC225,,,,
Ford,Escort,SW ‐ (GL / GLX / L / RS) ‐ gasolina ‐ mecânico,96 ‐‐ 02,FAP4831,WO370,WUNI0002,FCI1880,FCI1650,,,
Ford,Escort,SW ‐ (GL) ‐ gasolina ‐ mecânico,00 ‐‐ 02,FAP4831,WO150,WUNI0001,FCI1880,FCI1650,,,
